Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-12 20:06:59.000000 ,27.01,94,2.06,1012,31.2,260,40,10000,Mây rải rác,Nắng
Hanoi,2023-11-12 20:05:00.000000 ,25.0,82,3.3,1019,25.7,55,100,10000,Mưa nhẹ,Mưa
Turan,2023-11-12 20:06:59.000000 ,25.99,89,0.51,1016,25.99,0,75,8000,Mưa nhẹ,Mưa
Haiphong,2023-11-12 20:06:59.000000 ,25.95,78,4.63,1018,25.95,80,20,10000,Mây ít,Nắng
Bien Hoa,2023-11-12 20:06:59.000000 ,26.99,88,1.86,1013,30.5,107,74,10000,Mây rải rác,Nắng
Can Tho,2023-11-12 20:07:00.000000 ,27.99,93,1.54,1012,34.25,100,40,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-11-12 20:07:00.000000 ,27.03,94,2.06,1012,31.26,260,40,10000,Mây rải rác,Nắng
Di An,2023-11-12 20:07:00.000000 ,26.82,94,2.06,1012,30.6,260,40,10000,Mây rải rác,Nắng
Hue,2023-11-12 20:07:00.000000 ,26.06,94,1.03,1015,26.06,200,75,7000,Mây rải rác,Nắng
Vung Tau,2023-11-12 20:07:00.000000 ,28.1,81,8.77,1013,32.51,92,8,10000,Không xác định,Nắng
Thu Dau Mot,2023-11-12 20:07:00.000000 ,27.03,94,2.06,1012,31.26,260,40,10000,Mây rải rác,Nắng
Nha Trang,2023-11-12 20:07:00.000000 ,26.0,88,2.44,1015,26.0,341,7,10000,Không xác định,Nắng
Ha Long,2023-11-12 20:07:00.000000 ,25.77,80,4.8,1020,26.49,60,100,10000,Mây u ám,Nắng
Qui Nhon,2023-11-12 20:07:00.000000 ,26.18,85,4.32,1015,26.18,360,54,10000,Mây rải rác,Nắng
Thanh Hoa,2023-11-12 20:07:00.000000 ,24.89,88,5.66,1018,25.73,61,44,8295,Mây rải rác,Nắng
Thai Nguyen,2023-11-12 20:02:28.000000 ,24.88,89,2.92,1020,25.75,42,97,10000,Mây u ám,Nắng
Buon Ma Thuot,2023-11-12 20:07:00.000000 ,22.68,86,3.46,1015,23.25,78,27,10000,Mây rải rác,Nắng
Long Xuyen,2023-11-12 20:07:00.000000 ,27.97,86,2.87,1013,32.98,97,34,10000,Mây rải rác,Nắng
Phu Khuong,2023-11-12 20:07:01.000000 ,26.18,86,1.14,1013,26.18,156,97,10000,Mưa nhẹ,Mưa
Vinh,2023-11-12 20:07:01.000000 ,24.76,90,0.81,1017,25.64,360,21,10000,Mây ít,Nắng
Rach Gia,2023-11-12 20:07:01.000000 ,26.88,87,4.4,1012,30.11,90,14,10000,Mây ít,Nắng
Da Lat,2023-11-12 20:07:01.000000 ,15.4,99,1.31,1018,15.58,48,18,10000,Mây ít,Nắng
Bac Ninh,2023-11-12 20:07:01.000000 ,25.05,82,4.64,1020,25.75,35,100,10000,Mây u ám,Nắng
Hai Duong,2023-11-12 20:07:01.000000 ,26.0,80,2.74,1019,26.0,69,89,10000,Mây u ám,Nắng
Phan Thiet,2023-11-12 20:07:01.000000 ,26.09,88,4.74,1013,26.09,72,17,10000,Mây ít,Nắng
Pleiku,2023-11-12 20:02:09.000000 ,19.79,91,2.6,1016,20.2,59,98,10000,Mây u ám,Nắng
Nam Dinh,2023-11-12 20:05:00.000000 ,24.85,82,6.76,1019,25.53,78,81,10000,Mây rải rác,Nắng
Ca Mau,2023-11-12 20:07:01.000000 ,25.53,95,2.44,1012,26.62,78,64,10000,Mây rải rác,Nắng
Viet Tri,2023-11-12 20:07:01.000000 ,24.97,85,3.93,1019,25.74,90,82,10000,Mây rải rác,Nắng
Soc Trang,2023-11-12 20:07:02.000000 ,26.09,90,3.96,1012,26.09,92,11,10000,Mây ít,Nắng
Quang Ngai,2023-11-12 20:05:41.000000 ,24.86,89,1.64,1017,25.73,12,36,10000,Mây rải rác,Nắng
Thai Binh,2023-11-12 20:07:02.000000 ,24.99,81,7.63,1019,25.66,78,86,10000,Mây u ám,Nắng
My Tho,2023-11-12 20:07:02.000000 ,25.73,90,2.51,1013,26.71,105,46,10000,Mây rải rác,Nắng
Tuy Hoa,2023-11-12 20:07:02.000000 ,25.24,89,1.92,1015,26.14,346,90,10000,Mây u ám,Nắng
Bac Lieu,2023-11-12 20:07:02.000000 ,26.99,87,5.33,1012,30.4,84,15,10000,Mây ít,Nắng
Thanh Pho Uong Bi,2023-11-12 20:07:02.000000 ,25.99,85,1.95,1019,25.99,57,92,10000,Mây u ám,Nắng
Bac Giang,2023-11-12 20:05:48.000000 ,25.04,83,5.24,1020,25.77,35,99,10000,Mây u ám,Nắng
Tay Ninh,2023-11-12 20:07:03.000000 ,26.33,85,1.2,1013,26.33,151,96,10000,Mưa nhẹ,Mưa
Ninh Binh,2023-11-12 20:07:03.000000 ,24.93,84,6.35,1019,25.67,69,98,10000,Mây u ám,Nắng
Tan An,2023-11-12 20:07:03.000000 ,27.01,89,2.65,1013,30.66,112,100,10000,Mây u ám,Nắng
Kon Tum,2023-11-12 20:07:03.000000 ,20.57,92,1.61,1017,21.08,60,100,10000,Mây u ám,Nắng
Tam Ky,2023-11-12 20:07:03.000000 ,25.3,86,1.51,1017,26.13,67,99,10000,Mây u ám,Nắng
Vinh Long,2023-11-12 20:02:20.000000 ,27.99,93,1.94,1013,34.25,89,13,10000,Mây ít,Nắng
Lao Cai,2023-11-12 20:07:04.000000 ,22.94,98,0.57,1019,23.85,164,100,10000,Mây u ám,Nắng
Lagi,2023-11-12 20:07:04.000000 ,26.76,86,6.4,1013,29.71,80,8,10000,Không xác định,Nắng
Rach Gia,2023-11-12 20:07:01.000000 ,26.88,87,4.4,1012,30.11,90,14,10000,Mây ít,Nắng
Con Son,2023-11-12 20:07:04.000000 ,28.52,81,8.26,1012,33.63,80,60,10000,Mây rải rác,Nắng
Cho Dok,2023-11-12 20:07:04.000000 ,26.88,85,2.96,1013,29.92,119,71,10000,Mây rải rác,Nắng
Loc Ninh,2023-11-12 20:07:04.000000 ,23.94,94,1.08,1013,24.84,60,100,10000,Mây u ám,Nắng
Phan Rang-Thap Cham,2023-11-12 20:07:05.000000 ,25.33,87,3.2,1014,26.19,24,7,10000,Không xác định,Nắng
Kwang Binh,2023-11-12 20:07:05.000000 ,25.63,87,2.35,1017,26.52,86,20,10000,Mưa nhẹ,Mưa
Dien Bien Phu,2023-11-12 20:07:05.000000 ,22.67,88,1.36,1018,23.29,91,100,10000,Mây u ám,Nắng
Turan,2023-11-12 20:05:59.000000 ,25.99,89,0.51,1016,25.99,0,75,8000,Mưa nhẹ,Mưa
Don Luan,2023-11-12 20:07:05.000000 ,24.32,93,1.41,1013,25.24,27,98,10000,Mây u ám,Nắng
Loc Ninh,2023-11-12 20:07:04.000000 ,23.94,94,1.08,1013,24.84,60,100,10000,Mây u ám,Nắng
Song Cau,2023-11-12 20:07:06.000000 ,25.76,88,4.03,1015,26.69,2,72,10000,Mây rải rác,Nắng
Bim Son,2023-11-12 20:07:06.000000 ,25.14,85,6.44,1019,25.93,66,66,10000,Mây rải rác,Nắng
