Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-25 19:16:49.000000 ,29.01,84,1.03,1011,35.67,0,40,8000,Mây rải rác,Nắng
Hanoi,2023-11-25 19:12:28.000000 ,24,66,4.43,1018,24.18,140,74,10000,Mây rải rác,Nắng
Turan,2023-11-25 19:16:50.000000 ,22.99,94,2.57,1016,23.8,330,75,3500,Mưa vừa,Mưa
Haiphong,2023-11-25 19:16:50.000000 ,22.95,78,2.06,1018,23.34,110,0,10000,Không xác định,Nắng
Bien Hoa,2023-11-25 19:16:50.000000 ,28.99,87,1.96,1010,35.99,53,100,10000,Mây u ám,Nắng
Can Tho,2023-11-25 19:16:50.000000 ,26.99,83,0.51,1010,30,0,75,10000,Mây rải rác,Nắng
Thu Dau Mot,2023-11-25 19:16:50.000000 ,29.03,84,1.03,1011,35.73,0,40,8000,Mưa nhẹ,Mưa
Di An,2023-11-25 19:16:51.000000 ,28.82,84,1.03,1011,35.09,0,40,8000,Mây rải rác,Nắng
Hue,2023-11-25 19:16:51.000000 ,23.06,94,3.09,1016,23.88,310,75,2500,Không xác định,Nắng
Vung Tau,2023-11-25 19:16:51.000000 ,27.35,82,5.95,1010,30.77,76,100,10000,Mây u ám,Nắng
Thu Dau Mot,2023-11-25 19:16:50.000000 ,29.03,84,1.03,1011,35.73,0,40,8000,Mưa nhẹ,Mưa
Nha Trang,2023-11-25 19:16:51.000000 ,26,89,3.52,1014,26,359,100,10000,Mưa nhẹ,Mưa
Ha Long,2023-11-25 19:16:51.000000 ,22.77,80,2.87,1019,23.19,62,4,10000,Không xác định,Nắng
Qui Nhon,2023-11-25 19:16:52.000000 ,24.89,90,5.77,1015,25.78,31,100,6953,Không xác định,Mưa
Thanh Hoa,2023-11-25 19:12:09.000000 ,21.96,86,2.18,1019,22.46,85,15,10000,Mây ít,Nắng
Thai Nguyen,2023-11-25 19:16:52.000000 ,23.88,62,2.7,1018,23.94,152,66,10000,Mây rải rác,Nắng
Buon Ma Thuot,2023-11-25 19:16:52.000000 ,22.36,86,3.26,1014,22.9,70,100,10000,Mưa nhẹ,Mưa
Long Xuyen,2023-11-25 19:16:52.000000 ,26.97,76,1.01,1010,29.31,4,99,10000,Mây u ám,Nắng
Phu Khuong,2023-11-25 19:16:53.000000 ,25.79,78,3.02,1010,26.46,18,98,10000,Mưa nhẹ,Mưa
Vinh,2023-11-25 19:16:53.000000 ,22.57,87,2.24,1018,23.15,27,28,10000,Mây rải rác,Nắng
Rach Gia,2023-11-25 19:16:53.000000 ,26.33,79,1.01,1010,26.33,331,100,6576,Mây u ám,Nắng
Da Lat,2023-11-25 19:16:53.000000 ,16.12,98,2.12,1015,16.35,54,100,8003,Mưa nhẹ,Mưa
Bac Ninh,2023-11-25 19:16:53.000000 ,24.05,65,5.15,1018,24.21,144,60,10000,Mây rải rác,Nắng
Hai Duong,2023-11-25 19:16:54.000000 ,23,73,3.59,1019,23.26,128,29,10000,Mây rải rác,Nắng
Phan Thiet,2023-11-25 19:16:54.000000 ,26.14,81,4.61,1011,26.14,71,100,10000,Mây u ám,Nắng
Pleiku,2023-11-25 19:16:54.000000 ,20.65,83,3.65,1015,20.94,48,100,10000,Mây u ám,Nắng
Nam Dinh,2023-11-25 19:16:54.000000 ,23.12,76,3.69,1019,23.47,104,22,10000,Mây ít,Nắng
Ca Mau,2023-11-25 19:16:54.000000 ,25.11,90,3.02,1010,26.03,79,85,10000,Mưa nhẹ,Mưa
Viet Tri,2023-11-25 19:16:54.000000 ,23.97,61,2.7,1018,24.02,144,64,10000,Mây rải rác,Nắng
Soc Trang,2023-11-25 19:16:55.000000 ,25.21,88,2.93,1010,26.08,79,96,10000,Mây u ám,Nắng
Quang Ngai,2023-11-25 19:16:55.000000 ,23.54,94,2.11,1016,24.4,355,100,10000,Mưa vừa,Mưa
Thai Binh,2023-11-25 19:16:55.000000 ,23.25,75,3.95,1019,23.59,101,10,10000,Không xác định,Nắng
My Tho,2023-11-25 19:16:55.000000 ,25.33,88,1.46,1010,26.22,111,100,10000,Mây u ám,Nắng
Tuy Hoa,2023-11-25 19:16:55.000000 ,24.4,93,3.9,1015,25.32,28,100,6419,Mưa vừa,Mưa
Bac Lieu,2023-11-25 19:16:56.000000 ,26.03,86,5.55,1010,26.03,70,99,9166,Mây u ám,Nắng
Thanh Pho Uong Bi,2023-11-25 19:16:56.000000 ,22.99,76,1.65,1019,23.33,88,17,10000,Mây ít,Nắng
Bac Giang,2023-11-25 19:16:56.000000 ,24.04,66,4.89,1019,24.22,152,43,10000,Mây rải rác,Nắng
Tay Ninh,2023-11-25 19:16:56.000000 ,25.8,79,2.98,1010,26.5,16,98,10000,Mưa nhẹ,Mưa
Ninh Binh,2023-11-25 19:16:56.000000 ,22.94,78,3.47,1019,23.33,104,30,10000,Mây rải rác,Nắng
Tan An,2023-11-25 19:16:56.000000 ,29.01,88,1.4,1010,36.01,86,100,10000,Mây u ám,Nắng
Kon Tum,2023-11-25 19:16:57.000000 ,20.53,90,1.46,1015,20.99,55,100,10000,Mây u ám,Nắng
Tam Ky,2023-11-25 19:16:57.000000 ,23.34,94,2.62,1016,24.18,344,100,5194,Mưa vừa,Mưa
Vinh Long,2023-11-25 19:16:57.000000 ,26.99,81,2.09,1010,29.81,116,94,10000,Mây u ám,Nắng
Lao Cai,2023-11-25 19:16:57.000000 ,20.48,88,0.59,1020,20.88,186,69,10000,Mây rải rác,Nắng
Lagi,2023-11-25 19:16:57.000000 ,26.25,84,5.31,1011,26.25,73,100,10000,Mây u ám,Nắng
Rach Gia,2023-11-25 19:16:53.000000 ,26.33,79,1.01,1010,26.33,331,100,6576,Mây u ám,Nắng
Con Son,2023-11-25 19:16:58.000000 ,27.24,86,12.65,1010,30.95,66,94,10000,Mưa nhẹ,Mưa
Cho Dok,2023-11-25 19:16:58.000000 ,26.92,76,2.9,1010,29.21,351,81,10000,Mây rải rác,Nắng
Loc Ninh,2023-11-25 19:16:58.000000 ,27.93,74,2.22,1011,31.06,33,100,10000,Mưa vừa,Mưa
Phan Rang-Thap Cham,2023-11-25 19:16:58.000000 ,24.8,84,3.82,1013,25.53,18,100,10000,Mây u ám,Nắng
Kwang Binh,2023-11-25 19:16:58.000000 ,23.2,89,3.56,1017,23.9,24,86,10000,Mây u ám,Nắng
Dien Bien Phu,2023-11-25 19:16:59.000000 ,19.71,82,1.48,1017,19.88,89,37,10000,Mây rải rác,Nắng
Turan,2023-11-25 19:16:59.000000 ,22.99,94,2.57,1016,23.8,330,75,3500,Mưa vừa,Mưa
Don Luan,2023-11-25 19:16:59.000000 ,28.3,79,2.19,1011,32.69,34,99,10000,Mây u ám,Nắng
Loc Ninh,2023-11-25 19:16:58.000000 ,27.93,74,2.22,1011,31.06,33,100,10000,Mưa vừa,Mưa
Song Cau,2023-11-25 19:13:22.000000 ,24.66,92,4.89,1015,25.58,28,100,6396,Không xác định,Mưa
Bim Son,2023-11-25 19:16:59.000000 ,22.81,80,2.98,1019,23.24,96,33,10000,Mây rải rác,Nắng
Cu Chi,2023-11-25 19:17:00.000000 ,29.01,84,2.89,1010,35.67,49,99,10000,Mây u ám,Nắng
Uyen Hung,2023-11-25 19:17:00.000000 ,28.78,85,2.58,1010,35.19,43,100,10000,Mây u ám,Nắng
Ben Tre,2023-11-25 19:17:00.000000 ,24.95,91,1.77,1010,25.88,124,100,10000,Mây u ám,Nắng
Sa Dec,2023-11-25 19:17:00.000000 ,26.99,77,2.08,1010,29.44,96,96,10000,Mây u ám,Nắng
Ap Van Tu Tay,2023-11-25 19:17:00.000000 ,25.34,90,2.81,1014,26.28,0,100,10000,Mưa nhẹ,Mưa
Song Cau,2023-11-25 19:13:22.000000 ,24.66,92,4.89,1015,25.58,28,100,6396,Không xác định,Mưa
Ngo Chau,2023-11-25 19:17:01.000000 ,23.61,95,2.84,1015,24.51,29,100,5653,Không xác định,Mưa
Hoi An,2023-11-25 19:15:07.000000 ,22.98,90,2.84,1016,23.68,339,99,10000,Không xác định,Mưa
Dong Ha,2023-11-25 19:17:01.000000 ,22.39,93,1.92,1017,23.11,32,100,10000,Mưa nhẹ,Mưa
Bim Son,2023-11-25 19:16:59.000000 ,22.81,80,2.98,1019,23.24,96,33,10000,Mây rải rác,Nắng
Phu Ly,2023-11-25 19:17:01.000000 ,22.64,77,2.97,1019,22.97,117,65,10000,Mây rải rác,Nắng
Hai Ha,2023-11-25 19:17:02.000000 ,20.23,81,1.02,1019,20.42,168,64,10000,Mây rải rác,Nắng
Ha Dong,2023-11-25 19:17:02.000000 ,24.01,67,4.21,1018,24.22,141,77,10000,Mây rải rác,Nắng
Hau Duong,2023-11-25 19:17:02.000000 ,24.02,69,1.03,1018,24.28,0,40,5000,Không xác định,Nắng
Yen Lap,2023-11-25 19:17:02.000000 ,21.83,72,0.7,1018,21.95,205,62,10000,Mây rải rác,Nắng
Thanh Ba,2023-11-25 19:17:02.000000 ,22.8,66,1.13,1018,22.86,120,66,10000,Mây rải rác,Nắng
Doan Hung,2023-11-25 19:17:03.000000 ,22.92,64,1.23,1018,22.94,106,64,10000,Mây rải rác,Nắng
Son Duong,2023-11-25 19:17:03.000000 ,22.43,64,0.77,1018,22.4,109,62,10000,Mây rải rác,Nắng
